sim#;thickness;TransportTimeAfterHeating;EnforcedTemperatureOfEntireSheet;QuenchingTimeInTool;QuenchingForce;spacing;DefaultToolTemperature;HARDNESS P1;HARDNESS P2;HARDNESS P3;THICKNESS P1;THICKNESS P2;THICKNESS P3;RUECKFEDERUNG P4;RUECKFEDERUNG P5;;;| AutoForm-SIGMA: Scatter Data Dump (MIME: text/csv)
90;1.529075901;10.7161639;923.1092634;6.711393283;1966301.682;1.112236388;89.05963806;485.6666565;478.3333435;480;1.370442748;1.494466186;1.505533814;-0.151119887;-0.073634231;;;
91;1.483666915;17.73984203;932.6760179;4.2715873;1849560.803;1.244695158;98.30734503;429;447;451;1.334309936;1.458007813;1.461588502;-0.086539345;-0.062798948;;;
92;1.525913955;14.84493315;936.1446682;8.300744745;1184462.619;0.913466392;294.029312;444.3333435;435.3333435;461;1.365885377;1.493489623;1.501302123;-0.479061541;-0.470345737;;;
93;1.512537539;19.71947863;911.8488549;2.732727911;1402085.876;0.958277265;152.8199952;403;396.6666565;405;1.364257813;1.486653686;1.489583373;-0.269666069;-0.273337666;;;
94;1.519207154;17.80452549;900.8010075;9.601360143;1073964.786;1.556027467;230.0426708;398;389.3333435;400;1.363932252;1.491861939;1.494466186;-0.128050932;-0.106367319;;;
95;1.461887716;19.04594078;909.2536515;3.378640328;672079.7823;1.336853408;95.44788528;402;395.6666565;405;1.319986939;1.439778686;1.440104127;-0.056115692;-0.06835317;;;
96;1.477285254;22.68721388;944.8036166;3.256782239;1953036.804;0.193280096;119.40498;428;420.3333435;425;1.336914063;1.450846314;1.456705689;-0.096143149;-0.056926406;;;
97;1.531661546;15.76093226;943.4140969;8.991704502;600530.3683;1.361546897;249.025593;450.6666565;455.3333435;465.3333435;1.373372436;1.501627564;1.506835938;-0.285129112;-0.312000289;;;
98;1.547653899;21.07115184;919.0203781;6.746354177;1837557.584;0.6718772;248.2889221;400;396;399;1.387044311;1.517252564;1.5234375;-0.220917815;-0.197429591;;;
99;1.516983197;21.50784099;937.5573794;7.816730661;966446.4832;1.362754717;294.4928164;414.3333435;406.6666565;411;1.364257813;1.490234375;1.492838502;-0.32005069;-0.309848552;;;
